k,inertia
1,13014.000000000002
2,6373.0527290723585
3,4834.944370965715
4,3907.5839175468836
5,3307.7063994096115
6,2861.639005987321
7,2560.8501540672514
8,2354.504002805432
9,2167.2654593348607
10,2015.6439132097103
